Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
164,0.8781,0.8923,0.9734,0.9812,0.8284,0.2052,0.3573
165,0.8787,0.8928,0.9734,0.9812,0.8288,0.2044,0.3564
166,0.8792,0.8933,0.9734,0.9812,0.8287,0.2039,0.3553
167,0.8798,0.8938,0.9734,0.9812,0.8282,0.2030,0.3542
168,0.8803,0.8943,0.9734,0.9812,0.8280,0.2027,0.3532
169,0.8808,0.8948,0.9734,0.9812,0.8278,0.2018,0.3522
170,0.8813,0.8952,0.9734,0.9812,0.8278,0.2014,0.3512
171,0.8818,0.8956,0.9734,0.9812,0.8277,0.2006,0.3502
172,0.8823,0.8961,0.9734,0.9812,0.8278,0.2001,0.3491
173,0.8827,0.8965,0.9734,0.9812,0.8280,0.1993,0.3482
174,0.8832,0.8969,0.9734,0.9812,0.8283,0.1988,0.3472
175,0.8836,0.8972,0.9734,0.9812,0.8285,0.1981,0.3463
176,0.8841,0.8976,0.9734,0.9812,0.8287,0.1976,0.3454
177,0.8845,0.8980,0.9750,0.9812,0.8288,0.1970,0.3445
178,0.8849,0.8983,0.9766,0.9812,0.8288,0.1964,0.3436
179,0.8853,0.8987,0.9781,0.9812,0.8289,0.1958,0.3427
180,0.8857,0.8990,0.9781,0.9812,0.8290,0.1953,0.3419
181,0.8861,0.8993,0.9781,0.9812,0.8291,0.1948,0.3411
182,0.8864,0.8996,0.9781,0.9812,0.8292,0.1942,0.3402
183,0.8868,0.9000,0.9781,0.9812,0.8293,0.1937,0.3394
184,0.8872,0.9003,0.9781,0.9812,0.8294,0.1932,0.3387
185,0.8875,0.9006,0.9781,0.9812,0.8296,0.1927,0.3379
186,0.8879,0.9008,0.9797,0.9812,0.8298,0.1921,0.3371
187,0.8882,0.9011,0.9797,0.9812,0.8299,0.1916,0.3364
188,0.8885,0.9014,0.9797,0.9812,0.8300,0.1912,0.3357
189,0.8889,0.9017,0.9797,0.9812,0.8302,0.1907,0.3349
190,0.8892,0.9019,0.9797,0.9812,0.8303,0.1902,0.3342
191,0.8895,0.9022,0.9797,0.9812,0.8305,0.1897,0.3335
192,0.8898,0.9024,0.9812,0.9812,0.8306,0.1892,0.3329
193,0.8901,0.9027,0.9812,0.9812,0.8308,0.1888,0.3322
194,0.8904,0.9029,0.9812,0.9812,0.8309,0.1883,0.3316
195,0.8907,0.9031,0.9812,0.9812,0.8310,0.1879,0.3309
196,0.8910,0.9033,0.9812,0.9812,0.8312,0.1874,0.3303
197,0.8913,0.9035,0.9812,0.9812,0.8313,0.1870,0.3297
198,0.8916,0.9037,0.9812,0.9812,0.8315,0.1866,0.3291
199,0.8919,0.9039,0.9812,0.9812,0.8316,0.1861,0.3285
200,0.8922,0.9041,0.9812,0.9812,0.8318,0.1857,0.3279
201,0.8924,0.9043,0.9812,0.9812,0.8320,0.1853,0.3273
202,0.8927,0.9044,0.9812,0.9812,0.8321,0.1849,0.3268
203,0.8930,0.9046,0.9812,0.9812,0.8323,0.1845,0.3262
204,0.8933,0.9048,0.9812,0.9812,0.8325,0.1841,0.3256
