Epoch,train_sat,test_sat,train_accuracy,test_accuracy
309,0.5719,0.5910,0.7600,0.7000
310,0.5727,0.5918,0.7600,0.7000
311,0.5735,0.5926,0.7600,0.7000
312,0.5744,0.5934,0.7600,0.7000
313,0.5752,0.5942,0.7600,0.7000
314,0.5761,0.5950,0.7600,0.7000
315,0.5769,0.5958,0.7600,0.7000
316,0.5777,0.5965,0.7600,0.7200
317,0.5786,0.5973,0.7600,0.7200
318,0.5795,0.5981,0.7600,0.7200
319,0.5803,0.5988,0.7600,0.7200
320,0.5812,0.5996,0.7600,0.7200
321,0.5821,0.6003,0.7600,0.7200
322,0.5830,0.6010,0.7600,0.7200
323,0.5839,0.6017,0.7600,0.7200
324,0.5848,0.6024,0.7600,0.7200
325,0.5857,0.6031,0.7600,0.7200
326,0.5866,0.6038,0.7600,0.7200
327,0.5875,0.6044,0.7800,0.7200
328,0.5884,0.6051,0.7800,0.7200
329,0.5894,0.6057,0.7800,0.7200
330,0.5903,0.6063,0.7800,0.7200
331,0.5912,0.6070,0.7800,0.7200
332,0.5922,0.6076,0.7800,0.7200
333,0.5932,0.6081,0.7800,0.7200
334,0.5941,0.6087,0.7800,0.7200
335,0.5951,0.6093,0.7800,0.7200
336,0.5961,0.6098,0.7800,0.7200
337,0.5971,0.6103,0.7800,0.7200
338,0.5980,0.6108,0.7800,0.7200
339,0.5990,0.6113,0.7800,0.7200
340,0.6001,0.6118,0.7800,0.7200
341,0.6011,0.6122,0.7800,0.7000
342,0.6021,0.6127,0.7800,0.7000
343,0.6031,0.6131,0.7800,0.7000
344,0.6042,0.6135,0.7800,0.6800
345,0.6052,0.6139,0.7800,0.6600
346,0.6062,0.6143,0.7800,0.6600
347,0.6073,0.6147,0.7800,0.6600
348,0.6084,0.6150,0.7800,0.6600
349,0.6094,0.6153,0.7800,0.6600
350,0.6105,0.6156,0.7800,0.6600
351,0.6116,0.6159,0.7800,0.6600
352,0.6127,0.6162,0.8000,0.6600
353,0.6137,0.6164,0.8200,0.6600
354,0.6148,0.6167,0.8200,0.6600
355,0.6159,0.6169,0.8200,0.6600
