Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
151,0.8659,0.8796,0.9734,0.9750,0.7487,0.1922,0.3371
152,0.8665,0.8803,0.9766,0.9750,0.7490,0.1915,0.3360
153,0.8671,0.8808,0.9766,0.9750,0.7492,0.1907,0.3352
154,0.8677,0.8815,0.9766,0.9750,0.7494,0.1900,0.3342
155,0.8684,0.8820,0.9766,0.9750,0.7500,0.1894,0.3334
156,0.8689,0.8826,0.9781,0.9750,0.7499,0.1885,0.3325
157,0.8696,0.8831,0.9781,0.9750,0.7507,0.1882,0.3317
158,0.8701,0.8836,0.9781,0.9750,0.7502,0.1874,0.3308
159,0.8707,0.8841,0.9797,0.9750,0.7506,0.1870,0.3300
160,0.8712,0.8846,0.9797,0.9750,0.7502,0.1863,0.3293
161,0.8717,0.8851,0.9797,0.9750,0.7505,0.1859,0.3284
162,0.8722,0.8855,0.9797,0.9750,0.7505,0.1853,0.3276
163,0.8726,0.8860,0.9797,0.9750,0.7509,0.1847,0.3268
164,0.8731,0.8864,0.9797,0.9750,0.7512,0.1841,0.3261
165,0.8735,0.8869,0.9812,0.9750,0.7516,0.1835,0.3252
166,0.8740,0.8873,0.9812,0.9750,0.7520,0.1829,0.3246
167,0.8744,0.8877,0.9812,0.9750,0.7523,0.1823,0.3238
168,0.8748,0.8881,0.9812,0.9750,0.7525,0.1818,0.3231
169,0.8752,0.8885,0.9812,0.9750,0.7528,0.1813,0.3224
170,0.8756,0.8889,0.9812,0.9750,0.7530,0.1808,0.3217
171,0.8761,0.8892,0.9812,0.9750,0.7533,0.1804,0.3211
172,0.8764,0.8896,0.9812,0.9750,0.7533,0.1800,0.3204
173,0.8768,0.8899,0.9812,0.9750,0.7535,0.1796,0.3198
174,0.8772,0.8904,0.9812,0.9750,0.7536,0.1791,0.3191
175,0.8776,0.8907,0.9812,0.9750,0.7538,0.1787,0.3185
176,0.8779,0.8910,0.9812,0.9750,0.7541,0.1782,0.3179
177,0.8783,0.8914,0.9812,0.9750,0.7540,0.1777,0.3172
178,0.8786,0.8917,0.9812,0.9750,0.7544,0.1774,0.3167
179,0.8790,0.8920,0.9812,0.9750,0.7545,0.1769,0.3160
180,0.8793,0.8923,0.9812,0.9750,0.7550,0.1766,0.3155
181,0.8797,0.8925,0.9812,0.9750,0.7550,0.1762,0.3149
182,0.8800,0.8928,0.9812,0.9750,0.7551,0.1758,0.3144
183,0.8804,0.8930,0.9812,0.9750,0.7555,0.1755,0.3140
184,0.8807,0.8934,0.9812,0.9750,0.7555,0.1751,0.3134
185,0.8810,0.8936,0.9812,0.9750,0.7559,0.1748,0.3130
186,0.8813,0.8939,0.9812,0.9750,0.7555,0.1745,0.3123
187,0.8816,0.8941,0.9812,0.9750,0.7556,0.1742,0.3118
188,0.8820,0.8944,0.9812,0.9750,0.7556,0.1739,0.3113
189,0.8823,0.8947,0.9812,0.9750,0.7559,0.1735,0.3108
190,0.8826,0.8949,0.9812,0.9750,0.7563,0.1732,0.3104
191,0.8828,0.8951,0.9812,0.9750,0.7565,0.1728,0.3099
192,0.8831,0.8953,0.9812,0.9750,0.7568,0.1725,0.3095
193,0.8834,0.8955,0.9812,0.9750,0.7570,0.1721,0.3089
194,0.8836,0.8957,0.9812,0.9750,0.7571,0.1718,0.3084
195,0.8839,0.8959,0.9812,0.9750,0.7575,0.1715,0.3080
196,0.8842,0.8961,0.9812,0.9750,0.7578,0.1711,0.3076
197,0.8844,0.8963,0.9828,0.9750,0.7581,0.1708,0.3071
198,0.8847,0.8965,0.9828,0.9750,0.7583,0.1705,0.3067
199,0.8849,0.8967,0.9828,0.9750,0.7586,0.1702,0.3063
200,0.8852,0.8971,0.9828,0.9750,0.7587,0.1699,0.3058
201,0.8855,0.8972,0.9828,0.9750,0.7592,0.1697,0.3057
202,0.8857,0.8974,0.9828,0.9750,0.7596,0.1694,0.3052
203,0.8859,0.8976,0.9828,0.9750,0.7595,0.1690,0.3048
204,0.8862,0.8977,0.9812,0.9812,0.7602,0.1688,0.3045
205,0.8864,0.8979,0.9812,0.9750,0.7601,0.1685,0.3040
206,0.8866,0.8980,0.9812,0.9750,0.7602,0.1682,0.3036
207,0.8868,0.8982,0.9812,0.9812,0.7606,0.1680,0.3032
208,0.8870,0.8983,0.9812,0.9812,0.7605,0.1677,0.3028
209,0.8873,0.8985,0.9812,0.9812,0.7609,0.1675,0.3024
210,0.8875,0.8986,0.9812,0.9812,0.7610,0.1672,0.3021
211,0.8877,0.8988,0.9812,0.9812,0.7612,0.1669,0.3017
212,0.8879,0.8989,0.9828,0.9812,0.7615,0.1667,0.3014
213,0.8881,0.8991,0.9828,0.9812,0.7616,0.1664,0.3010
